"","ring1","ring2","ring3","ring4","ring5","ring6","ring7","ring8","ring9","ring10","ring11","ring12","ring13","ring14","ring15"
"ENSMUSG00000053253",1.78343949044586,1.77027027027027,2.00699300699301,1.53846153846154,1.98979591836735,1.88333333333333,1.73983739837398,1.78947368421053,1.60122699386503,1.7816091954023,1.66666666666667,1.8855421686747,1.75,1.22222222222222,1.8125
"ENSMUSG00000022114",1.18181818181818,1.17777777777778,1.11538461538462,1.15789473684211,1.27906976744186,1.16129032258065,1.175,1.22222222222222,1.12676056338028,1.03448275862069,1.28571428571429,1.21052631578947,1,1,1.16666666666667
"ENSMUSG00000075478",1.13333333333333,1.46511627906977,1.11627906976744,1,1.19354838709677,1,1.36986301369863,1,1.2625,1.50980392156863,1.59090909090909,1.29787234042553,1.5,0,1.13636363636364
"ENSMUSG00000045871",1.11111111111111,0,1.16666666666667,0,1,1,0,0,1.16666666666667,0,0,1.33333333333333,0,0,0
"ENSMUSG00000033214",1.19642857142857,1.26086956521739,1.20689655172414,1.07692307692308,1.2,1.04545454545455,1.20634920634921,1,1.22222222222222,1.19565217391304,1.11111111111111,1.31428571428571,1.2,0,1.16666666666667
"ENSMUSG00000058126",1,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"ENSMUSG00000022112",1.18181818181818,1.19354838709677,1.19565217391304,1.27272727272727,1.15384615384615,1.0625,1.26923076923077,1.44444444444444,1.13432835820896,1.29411764705882,1.66666666666667,1.26666666666667,1.2,1,1.06666666666667
"ENSMUSG00000058571",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000022129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022130",1,1.06666666666667,1.13333333333333,1,1.22222222222222,1,1,0,1,1,1,1.05263157894737,0,0,1
"ENSMUSG00000022131",1.24615384615385,1.27027027027027,1.17741935483871,1.21428571428571,1.15384615384615,1.08695652173913,1.19047619047619,1.2,1.12,1.07692307692308,1.42857142857143,1.38028169014085,1,0,1.42105263157895
"ENSMUSG00000061517",1.0625,1,1,0,1,0,1,0,1.15384615384615,1.11111111111111,1,1.1875,0,0,1
"ENSMUSG00000032849",1,1.17647058823529,1.19047619047619,0,1,1,1.05263157894737,0,1.2,1.44444444444444,0,1.14285714285714,0,0,0
"ENSMUSG00000022132",1.65,1.75167785234899,1.3,1.06666666666667,1.22641509433962,1.15625,2.03508771929825,1.09090909090909,1.60625,1.92553191489362,1.78947368421053,1.74675324675325,1.64285714285714,0,1.39393939393939
"ENSMUSG00000042156",1.1551724137931,1.18666666666667,1.14285714285714,1.3,1.12903225806452,1.1304347826087,1.15384615384615,1,1.23684210526316,1.21621621621622,1.25,1.25,1.11111111111111,0,1.2
"ENSMUSG00000022136",1.55555555555556,1.20289855072464,1.34920634920635,1.28571428571429,1.30612244897959,1.11428571428571,1.11904761904762,1.14285714285714,1.40816326530612,1.26829268292683,1.25,1.72151898734177,1,0,1.24
"ENSMUSG00000042104",1,1.05,1,0,1,1,1.11764705882353,1,1.09090909090909,1.08333333333333,1,1,0,0,1
"ENSMUSG00000044819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022139",1.96407185628743,1.80487804878049,1.95945945945946,1.76,1.73958333333333,1.66666666666667,1.93650793650794,1.66666666666667,1.7258064516129,1.86363636363636,1.87179487179487,1.92727272727273,1.7,1,1.7
"ENSMUSG00000051615",1.3974358974359,1.33695652173913,1.33333333333333,1.18181818181818,1.20408163265306,1.12903225806452,1.30555555555556,1.33333333333333,1.29824561403509,1.33333333333333,1.47826086956522,1.2972972972973,1.55555555555556,1,1.25925925925926
"ENSMUSG00000030662",1.6734693877551,1.73239436619718,1.53333333333333,1.56818181818182,1.65137614678899,1.44594594594595,1.75438596491228,1.53571428571429,1.50609756097561,1.58904109589041,2.10810810810811,1.79375,2.11764705882353,1.25,1.7
"ENSMUSG00000025555",1.12790697674419,1.42574257425743,1.19736842105263,1.125,1.16279069767442,1.23529411764706,1.23595505617978,1.1,1.41052631578947,1.23636363636364,1.1,1.46601941747573,1.45454545454545,1,1.26666666666667
"ENSMUSG00000063410",1.04166666666667,1.11538461538462,1.04761904761905,1,1.08333333333333,1.07142857142857,1.13636363636364,1,1,1.13333333333333,1,1.10526315789474,0,0,1
"ENSMUSG00000025558",1.14545454545455,1.25,1.18604651162791,1.1,1.05882352941176,1.26666666666667,1.23076923076923,1.14285714285714,1.14666666666667,1.20833333333333,1.44444444444444,1.24324324324324,1.16666666666667,0,1.14285714285714
"ENSMUSG00000041765",1.44444444444444,1.38297872340426,1.30769230769231,1.26315789473684,1.328125,1.38461538461538,1.30769230769231,1.0625,1.45217391304348,1.20689655172414,1.05263157894737,1.39805825242718,1.23076923076923,1,1.2
"ENSMUSG00000051212",1,1,1,0,1,0,1,0,1,0,0,1,0,0,0
"ENSMUSG00000025544",1.55882352941176,1.66423357664234,1.45535714285714,1.54838709677419,1.49411764705882,1.29310344827586,1.60576923076923,1.07142857142857,1.69736842105263,1.56410256410256,1.66666666666667,1.62820512820513,1.2,1,1.59459459459459
"ENSMUSG00000025545",1.26,1.25675675675676,1.29508196721311,1,1.13888888888889,1.23809523809524,1.25925925925926,1,1.225,1.28571428571429,1.17647058823529,1.27710843373494,1.25,0,1.11111111111111
"ENSMUSG00000041703",1,1,1,0,1,1,1,0,1.07692307692308,0,0,1.14285714285714,0,0,0
"ENSMUSG00000061524",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041650",1.47058823529412,1.18461538461538,1.24615384615385,1.0625,1.29545454545455,1.21621621621622,1.10714285714286,1.125,1.47560975609756,1.27272727272727,1.22222222222222,1.4047619047619,1.2,0,1.21052631578947
"ENSMUSG00000041625",1.17241379310345,1.23076923076923,1.02325581395349,1.11111111111111,1.03703703703704,1.05882352941176,1.1,1,1.14705882352941,1.11111111111111,1,1.18604651162791,1,0,1
"ENSMUSG00000041594",1.16666666666667,1,1,0,1,1,1,1,1,1,1,1,1,0,2
"ENSMUSG00000000197",1.21212121212121,1.4020618556701,1.22619047619048,1.11111111111111,1.26666666666667,1.40909090909091,1.28571428571429,1.22222222222222,1.3804347826087,1.0952380952381,1.17647058823529,1.35632183908046,1,0,1.44444444444444
"ENSMUSG00000032925",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025551",1.15789473684211,1.22857142857143,1.05714285714286,1.33333333333333,1.15789473684211,1.17647058823529,1.06666666666667,1,1.09375,1.22727272727273,1.11111111111111,1.2,0,0,1
"ENSMUSG00000064373",2.80519480519481,3.44196428571429,2.63054187192118,2.33333333333333,2.46376811594203,2.18604651162791,3.02717391304348,2.25,3.25287356321839,2.82677165354331,2.45652173913043,3.47234042553192,2.52173913043478,1.11111111111111,2.47457627118644
"ENSMUSG00000091119",1.14285714285714,1.2,1.25,1,1,1,1.14285714285714,0,1,1,0,1.1,0,0,1.2
"ENSMUSG00000055737",1,1,1,1,1.18181818181818,1,1,1.25,1.18181818181818,1,0,1.08695652173913,0,0,1
"ENSMUSG00000022184",1.14814814814815,1.06666666666667,1.09090909090909,1,1.04347826086957,1,1,1,1.08333333333333,1,1,1.125,1,0,1
